2026-09-17T13:57:55 [INFO] infra.pg_client | PostgreSQL 연결 완료 (schema: sysmaster)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-14-CO2(S000000055) - CO2: 0.0801% (임계 L1:5.0, L2:10.0, L3:30.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-15-CO2(S000000059) - CO2: 0.0804% (임계 L1:5.0, L2:10.0, L3:30.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-01-CO(S000000002) - CO: 10.2ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-02-CO(S000000006) - CO: 10.0ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-03-CO(S000000010) - CO: 10.0ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-04-CO(S000000014) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-05-CO(S000000018) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-06-CO(S000000022) - CO: 10.0ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-07-CO(S000000026) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-08-CO(S000000030) - CO: 10.0ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-09-CO(S000000034) - CO: 10.0ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-16-CO2(S000000063) - CO2: 0.0796% (임계 L1:5.0, L2:10.0, L3:30.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-10-CO(S000000038) - CO: 10.2ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-11-CO(S000000042) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-12-CO(S000000046) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-13-CO(S000000050) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-14-CO(S000000054) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-15-CO(S000000058) - CO: 10.0ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-16-CO(S000000062) - CO: 10.2ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-17-CO(S000000066) - CO: 10.2ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-18-CO(S000000070) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-19-CO(S000000074) - CO: 10.2ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-17-CO2(S000000067) - CO2: 0.0793% (임계 L1:5.0, L2:10.0, L3:30.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-20-CO(S000000078) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-21-CO(S000000082) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-23-CO(S000000090) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-24-CO(S000000094) - CO: 10.2ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-25-CO(S000000098) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-26-CO(S000000102) - CO: 10.2ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
2026-09-17T13:57:55 [INFO] engine.fire_gas | [R0000001] 복합가스 센서 G-27-CO(S000000106) - CO: 10.1ppm (임계 L1:1400.0, L2:2000.0, L3:2500.0 이상)
